"id","longitude","latitude","start_date","end_date","label"
1,-64.8346739857091,-10.1123986202246,2018-08-12,2019-07-28,"NonForest"
2,-65.5176076946635,-10.4939102264196,2018-08-12,2019-07-28,"NonForest"
3,-64.7415810940737,-10.0721312701036,2018-08-12,2019-07-28,"NonForest"
4,-65.1688254822207,-10.3542211668871,2018-08-12,2019-07-28,"Deforestation"
5,-65.2548871431264,-10.326335512953,2018-08-12,2019-07-28,"NonForest"
6,-65.1386097072679,-10.0257826187054,2018-08-12,2019-07-28,"Deforestation"
7,-65.0232770088181,-10.1762851670863,2018-08-12,2019-07-28,"Deforestation"
8,-64.7568047445625,-10.0869675399459,2018-08-12,2019-07-28,"NonForest"
9,-64.8547816704515,-9.97478647680244,2018-08-12,2019-07-28,"NonForest"
10,-65.4056559586491,-10.7378663802118,2018-08-12,2019-07-28,"NonForest"
11,-65.0971481345975,-9.95952128387316,2018-08-12,2019-07-28,"NonForest"
12,-64.7509916623302,-10.5860291025164,2018-08-12,2019-07-28,"NonForest"
13,-64.9692315737233,-9.94556548521918,2018-08-12,2019-07-28,"NonForest"
14,-65.007725739158,-10.0670962630189,2018-08-12,2019-07-28,"NonForest"
15,-65.1699640895878,-10.8021448345334,2018-08-12,2019-07-28,"NonForest"
16,-64.8417962990006,-10.000803690116,2018-08-12,2019-07-28,"NonForest"
17,-64.8603725790271,-10.0118196184062,2018-08-12,2019-07-28,"Forest"
18,-64.8781851497226,-10.7064280776606,2018-08-12,2019-07-28,"NonForest"
19,-65.0869520111691,-10.0901970688504,2018-08-12,2019-07-28,"Deforestation"
20,-65.5103448811131,-9.98911208604381,2018-08-12,2019-07-28,"Forest"
21,-65.0318149549113,-10.0686665347879,2018-08-12,2019-07-28,"NonForest"
22,-65.5162431714445,-10.5844625893378,2018-08-12,2019-07-28,"NonForest"
23,-64.991207683364,-10.1692504383699,2018-08-12,2019-07-28,"NonForest"
24,-65.0831894136473,-10.0582232007281,2018-08-12,2019-07-28,"Deforestation"
25,-64.8412770547407,-10.6944445276053,2018-08-12,2019-07-28,"NonForest"
26,-65.1088732001837,-10.0948481830536,2018-08-12,2019-07-28,"Forest"
27,-65.0257956199621,-10.6927589624916,2018-08-12,2019-07-28,"NonForest"
28,-65.2281948252922,-10.2031525184515,2018-08-12,2019-07-28,"NonForest"
29,-64.898752513797,-10.3181420669329,2018-08-12,2019-07-28,"Deforestation"
30,-64.9536302919264,-10.6982810294441,2018-08-12,2019-07-28,"NonForest"
31,-64.86237171847,-10.2320227061369,2018-08-12,2019-07-28,"NonForest"
32,-65.5011369164308,-10.478046256024,2018-08-12,2019-07-28,"NonForest"
33,-65.075391215194,-10.0510410579545,2018-08-12,2019-07-28,"NonForest"
34,-65.4038373061294,-10.6926968765988,2018-08-12,2019-07-28,"NonForest"
35,-64.7436874679932,-10.1244650275705,2018-08-12,2019-07-28,"NonForest"
36,-65.1826581044032,-10.0670722488012,2018-08-12,2019-07-28,"NonForest"
37,-64.8703956683377,-10.1053272336758,2018-08-12,2019-07-28,"NonForest"
38,-64.9566276373278,-10.8791365153343,2018-08-12,2019-07-28,"NonForest"
39,-64.8767419112097,-10.0669617820692,2018-08-12,2019-07-28,"NonForest"
40,-65.3272593926537,-10.6676117622453,2018-08-12,2019-07-28,"NonForest"
41,-65.365066950423,-10.3655811074513,2018-08-12,2019-07-28,"NonForest"
42,-64.8725129810854,-9.9977394389361,2018-08-12,2019-07-28,"Forest"
43,-65.2428792386263,-10.058173442281,2018-08-12,2019-07-28,"NonForest"
44,-65.2828451821504,-10.2542895795452,2018-08-12,2019-07-28,"NonForest"
